offset,result,steps,price
1.0,SUCCESS,3,1003.49
0.35,SUCCESS,0,1003.49
0.4,TIMEOUT,51,
0.45,SUCCESS,1,1003.59
0.5,SUCCESS,2,1003.59
0.75,SUCCESS,3,1003.59
1.0,SUCCESS,0,1003.59
0.35,SUCCESS,0,1003.59
0.4,SUCCESS,1,1003.59
0.45,SUCCESS,0,1003.59
0.5,SUCCESS,0,1003.59
0.75,SUCCESS,1,1003.59
1.0,SUCCESS,0,1003.59
0.35,SUCCESS,0,1003.59
0.4,SUCCESS,0,1003.59
0.45,SUCCESS,0,1003.59
0.5,SUCCESS,2,1003.59
0.75,SUCCESS,0,1003.59
1.0,SUCCESS,0,1003.59
0.35,SUCCESS,0,1003.59
0.4,SUCCESS,1,1003.59
0.45,TIMEOUT,51,
0.5,SUCCESS,1,1003.69
0.75,SUCCESS,3,1003.69
1.0,SUCCESS,6,1003.69
0.35,SUCCESS,0,1003.69
0.4,SUCCESS,2,1003.69
0.45,SUCCESS,0,1003.69
0.5,SUCCESS,1,1003.69
0.75,SUCCESS,2,1003.69
1.0,SUCCESS,4,1003.69
0.35,TIMEOUT,51,
0.4,SUCCESS,1,1003.89
0.45,SUCCESS,3,1003.89
0.5,SUCCESS,0,1003.89
0.75,SUCCESS,1,1003.89
1.0,SUCCESS,5,1003.89
0.35,SUCCESS,3,1003.89
0.4,SUCCESS,1,1003.89
0.45,SUCCESS,0,1003.89
0.5,SUCCESS,1,1003.89
0.75,SUCCESS,0,1003.89
1.0,SUCCESS,1,1003.89
0.35,SUCCESS,0,1003.89
0.4,SUCCESS,2,1003.89
0.45,SUCCESS,0,1003.89
0.5,SUCCESS,0,1003.89
0.75,SUCCESS,0,1003.79
1.0,SUCCESS,0,1003.89
0.35,SUCCESS,0,1003.69
0.4,SUCCESS,0,998.9
0.45,SUCCESS,0,998.25
0.5,SUCCESS,0,998.29
0.75,SUCCESS,0,997.65
1.0,SUCCESS,0,997.39
0.35,SUCCESS,1,997.19
0.4,SUCCESS,1,997.0
0.45,SUCCESS,0,996.65
0.5,TIMEOUT,51,
0.75,SUCCESS,1,1000.59
1.0,SUCCESS,3,1000.59
0.35,SUCCESS,0,1000.59
0.4,SUCCESS,0,1000.59
0.45,SUCCESS,1,1000.59
0.5,SUCCESS,2,1000.59
0.75,TIMEOUT,51,
1.0,SUCCESS,3,1000.99
0.35,SUCCESS,0,1000.99
0.4,SUCCESS,2,1000.99
0.45,SUCCESS,6,1000.99
0.5,SUCCESS,4,1000.99
0.75,SUCCESS,0,1000.99
1.0,SUCCESS,1,1000.99
0.35,SUCCESS,0,1000.99
0.4,SUCCESS,1,1000.99
0.45,SUCCESS,3,1000.99
0.5,SUCCESS,0,1000.99
0.75,TIMEOUT,51,
1.0,SUCCESS,1,1001.19
0.35,SUCCESS,0,1001.19
0.4,SUCCESS,2,1001.19
0.45,SUCCESS,0,1001.19
0.5,SUCCESS,5,1001.19
0.75,SUCCESS,0,1001.19
1.0,SUCCESS,0,1001.19
0.35,SUCCESS,0,1001.19
0.4,TIMEOUT,51,
0.45,SUCCESS,0,1001.29
0.5,SUCCESS,0,1001.29
0.75,SUCCESS,0,1001.29
1.0,SUCCESS,0,1001.29
0.35,SUCCESS,0,1001.29
0.4,SUCCESS,3,1001.29
0.45,SUCCESS,1,1001.29
0.5,SUCCESS,3,1001.29
0.75,SUCCESS,1,1001.29
1.0,SUCCESS,0,1001.29
0.35,SUCCESS,0,1001.29
0.4,SUCCESS,1,1001.29
0.45,SUCCESS,0,1001.29
0.5,SUCCESS,0,1001.29
0.75,SUCCESS,0,1001.29
1.0,SUCCESS,0,1001.29
0.35,SUCCESS,1,1001.29
0.4,SUCCESS,0,1001.29
0.45,SUCCESS,0,1001.29
0.5,SUCCESS,0,1001.29
0.75,SUCCESS,1,1001.29
1.0,SUCCESS,1,1001.29
0.35,SUCCESS,3,1001.29
0.4,SUCCESS,4,1001.29
0.45,SUCCESS,0,1001.29
0.5,SUCCESS,0,1001.29
0.75,SUCCESS,0,1001.29
1.0,TIMEOUT,51,
0.35,SUCCESS,0,1001.39
0.4,SUCCESS,1,1001.39
0.45,SUCCESS,2,1001.39
0.5,SUCCESS,1,1001.39
0.75,SUCCESS,2,1001.39
1.0,SUCCESS,2,1001.39
0.35,SUCCESS,0,1001.39
0.4,TIMEOUT,51,
0.45,SUCCESS,0,1001.49
0.5,SUCCESS,4,1001.49
0.75,SUCCESS,0,1001.49
1.0,SUCCESS,5,1001.49
0.35,SUCCESS,4,1001.49
0.4,SUCCESS,0,1001.49
0.45,SUCCESS,0,1001.49
0.5,SUCCESS,0,1001.49
0.75,SUCCESS,0,1001.49
1.0,SUCCESS,5,1001.49
0.35,SUCCESS,0,1001.39
0.4,SUCCESS,0,1001.39
0.45,SUCCESS,1,1001.09
0.5,SUCCESS,0,1001.09
0.75,TIMEOUT,51,
1.0,SUCCESS,1,1001.19
0.35,SUCCESS,1,1001.19
0.4,SUCCESS,1,1001.19
0.45,SUCCESS,3,1001.19
0.5,TIMEOUT,51,
0.75,SUCCESS,1,1001.29
1.0,SUCCESS,3,1001.29
0.35,SUCCESS,2,1001.29
0.4,SUCCESS,0,1001.29
0.45,SUCCESS,1,1001.29
