offset,result,steps,price
0.1,SUCCESS,0,1001.59
0.12,SUCCESS,2,1001.59
0.25,SUCCESS,1,1001.59
0.0,SUCCESS,10,1001.5
0.01,SUCCESS,2,1001.51
0.05,SUCCESS,0,1001.55
0.1,SUCCESS,0,1001.59
0.12,SUCCESS,1,1001.59
0.25,SUCCESS,1,1001.59
0.0,SUCCESS,17,1001.5
0.01,SUCCESS,0,1001.51
0.05,SUCCESS,1,1001.55
0.1,SUCCESS,9,1001.59
0.12,SUCCESS,0,1001.59
0.25,SUCCESS,4,1001.59
0.0,SUCCESS,13,1001.5
0.01,SUCCESS,3,1001.51
0.05,SUCCESS,2,1001.55
0.1,SUCCESS,0,1001.59
0.12,SUCCESS,0,1001.59
0.25,SUCCESS,2,1001.59
0.0,SUCCESS,12,1001.5
0.01,SUCCESS,2,1001.51
0.05,SUCCESS,1,1001.55
0.1,SUCCESS,0,1001.59
0.12,SUCCESS,3,1001.59
0.25,SUCCESS,1,1001.59
0.0,SUCCESS,2,1001.4
0.01,SUCCESS,1,1001.41
0.05,SUCCESS,2,1001.45
0.1,TIMEOUT,51,
0.12,SUCCESS,0,1001.69
0.25,SUCCESS,2,1001.69
0.0,SUCCESS,29,1001.6
0.01,SUCCESS,3,1001.61
0.05,SUCCESS,2,1001.65
0.1,SUCCESS,1,1001.69
0.12,SUCCESS,3,1001.69
0.25,SUCCESS,1,1001.69
0.0,SUCCESS,13,1001.6
0.01,SUCCESS,2,1001.61
0.05,SUCCESS,0,1001.65
0.1,SUCCESS,3,1001.69
0.12,SUCCESS,5,1001.69
0.25,SUCCESS,3,1001.69
0.0,SUCCESS,5,1001.6
0.01,SUCCESS,1,1001.61
0.05,SUCCESS,0,1001.65
0.1,SUCCESS,3,1001.69
0.12,SUCCESS,0,1001.69
0.25,SUCCESS,1,1001.69
0.0,SUCCESS,19,1001.6
0.01,SUCCESS,1,1001.61
0.05,SUCCESS,1,1001.65
0.1,SUCCESS,0,1001.69
0.12,SUCCESS,0,1001.69
0.25,SUCCESS,1,1001.69
0.0,SUCCESS,19,1001.6
0.01,SUCCESS,0,1001.61
0.05,SUCCESS,0,1001.65
0.1,SUCCESS,4,1001.69
0.12,SUCCESS,0,1001.69
0.25,SUCCESS,0,1001.69
0.0,SUCCESS,10,1001.6
0.01,SUCCESS,2,1001.61
0.05,SUCCESS,3,1001.65
0.1,SUCCESS,0,1001.69
0.12,SUCCESS,0,1001.69
