step,bid,ask,mid,spread,scenario,timestamp
115,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.129057
116,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.1306748
117,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.131951
118,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.133118
119,998.0,998.4,998.2,0.39999999999997726,hft_dominated,1768731038.134374
120,998.1,998.3,998.2,0.1999999999999318,hft_dominated,1768731038.135524
121,998.0,998.4,998.2,0.39999999999997726,hft_dominated,1768731038.1372318
122,998.0,998.4,998.2,0.39999999999997726,hft_dominated,1768731038.138464
123,997.9,998.4,998.15,0.5,hft_dominated,1768731038.140429
124,998.1,998.3,998.2,0.1999999999999318,hft_dominated,1768731038.142129
125,998.1,998.4,998.25,0.2999999999999545,hft_dominated,1768731038.1433878
126,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.145751
127,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.1483939
128,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.149854
129,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.150931
130,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.1539352
131,997.8,998.3,998.05,0.5,hft_dominated,1768731038.1550038
132,997.8,998.1,997.95,0.3000000000000682,hft_dominated,1768731038.155937
133,997.9,998.0,997.95,0.10000000000002274,hft_dominated,1768731038.156841
134,997.8,998.0,997.9,0.20000000000004547,hft_dominated,1768731038.157728
135,997.4,998.0,997.7,0.6000000000000227,hft_dominated,1768731038.158606
136,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.159478
137,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.1604831
138,997.5,997.9,997.7,0.39999999999997726,hft_dominated,1768731038.1615
139,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.162431
140,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.163309
141,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.16416
142,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.165004
143,997.4,998.0,997.7,0.6000000000000227,hft_dominated,1768731038.165823
144,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.166664
145,997.5,997.9,997.7,0.39999999999997726,hft_dominated,1768731038.1675022
146,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.1683578
147,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.1692932
148,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.170186
149,997.6,997.7,997.6500000000001,0.10000000000002274,hft_dominated,1768731038.1712818
150,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.172201
151,997.4,997.7,997.55,0.3000000000000682,hft_dominated,1768731038.172898
152,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.173695
153,997.4,997.7,997.55,0.3000000000000682,hft_dominated,1768731038.174554
154,997.4,997.7,997.55,0.3000000000000682,hft_dominated,1768731038.175458
155,997.1,997.7,997.4000000000001,0.6000000000000227,hft_dominated,1768731038.176181
156,997.3,997.5,997.4,0.20000000000004547,hft_dominated,1768731038.176942
157,997.3,997.5,997.4,0.20000000000004547,hft_dominated,1768731038.1777642
158,997.3,997.5,997.4,0.20000000000004547,hft_dominated,1768731038.178528
159,997.4,997.5,997.45,0.10000000000002274,hft_dominated,1768731038.179224
160,997.4,997.8,997.5999999999999,0.39999999999997726,hft_dominated,1768731038.179917
161,997.45,998.0,997.725,0.5499999999999545,hft_dominated,1768731038.181858
162,997.45,997.7,997.575,0.25,hft_dominated,1768731038.182732
163,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.1834052
164,997.45,997.8,997.625,0.34999999999990905,hft_dominated,1768731038.184075
165,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.184781
166,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.185547
167,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.186351
168,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.187155
169,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.187846
170,997.5,997.6,997.55,0.10000000000002274,hft_dominated,1768731038.188685
171,997.45,997.6,997.5250000000001,0.14999999999997726,hft_dominated,1768731038.1894999
172,997.45,997.6,997.5250000000001,0.14999999999997726,hft_dominated,1768731038.190204
173,997.5,997.6,997.55,0.10000000000002274,hft_dominated,1768731038.190932
174,997.5,997.6,997.55,0.10000000000002274,hft_dominated,1768731038.191696
175,997.5,997.6,997.55,0.10000000000002274,hft_dominated,1768731038.192437
176,997.5,997.6,997.55,0.10000000000002274,hft_dominated,1768731038.193184
177,997.5,997.6,997.55,0.10000000000002274,hft_dominated,1768731038.194125
178,997.5,997.6,997.55,0.10000000000002274,hft_dominated,1768731038.1951418
179,997.5,997.6,997.55,0.10000000000002274,hft_dominated,1768731038.196379
180,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.197214
181,997.5,997.9,997.7,0.39999999999997726,hft_dominated,1768731038.198685
182,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.199424
183,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.20013
184,997.6,997.7,997.6500000000001,0.10000000000002274,hft_dominated,1768731038.200854
185,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.201577
186,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.202402
187,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.203131
188,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.2037919
189,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.20449
190,997.5,997.7,997.6,0.20000000000004547,hft_dominated,1768731038.205172
191,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.205892
192,997.5,997.8,997.65,0.2999999999999545,hft_dominated,1768731038.206541
193,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.207196
194,997.6,997.8,997.7,0.1999999999999318,hft_dominated,1768731038.207851
195,997.45,998.2,997.825,0.75,hft_dominated,1768731038.208519
196,997.7,997.9,997.8,0.1999999999999318,hft_dominated,1768731038.209177
197,997.8,998.2,998.0,0.40000000000009095,hft_dominated,1768731038.209839
198,997.45,998.4,997.925,0.9499999999999318,hft_dominated,1768731038.210537
199,997.8,998.0,997.9,0.20000000000004547,hft_dominated,1768731038.211244
200,997.9,998.2,998.05,0.3000000000000682,hft_dominated,1768731038.211914
201,997.9,998.1,998.0,0.20000000000004547,hft_dominated,1768731038.2126248
202,997.8,998.2,998.0,0.40000000000009095,hft_dominated,1768731038.2132978
203,997.9,998.1,998.0,0.20000000000004547,hft_dominated,1768731038.2139509
204,997.9,998.0,997.95,0.10000000000002274,hft_dominated,1768731038.2146711
205,997.7,998.0,997.85,0.2999999999999545,hft_dominated,1768731038.215307
206,997.8,998.0,997.9,0.20000000000004547,hft_dominated,1768731038.215956
207,997.8,998.0,997.9,0.20000000000004547,hft_dominated,1768731038.216583
208,997.8,998.0,997.9,0.20000000000004547,hft_dominated,1768731038.217238
209,997.8,998.0,997.9,0.20000000000004547,hft_dominated,1768731038.21793
210,997.8,998.0,997.9,0.20000000000004547,hft_dominated,1768731038.218861
211,997.7,998.1,997.9000000000001,0.39999999999997726,hft_dominated,1768731038.219751
212,997.9,998.1,998.0,0.20000000000004547,hft_dominated,1768731038.220741
213,997.9,998.1,998.0,0.20000000000004547,hft_dominated,1768731038.221896
214,997.9,998.2,998.05,0.3000000000000682,hft_dominated,1768731038.222888
215,998.0,998.55,998.275,0.5499999999999545,hft_dominated,1768731038.223959
216,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.226222
217,998.1,998.5,998.3,0.39999999999997726,hft_dominated,1768731038.227369
218,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.22858
219,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.2295942
220,998.05,998.55,998.3,0.5,hft_dominated,1768731038.230335
221,998.05,998.55,998.3,0.5,hft_dominated,1768731038.231039
222,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.231752
223,998.05,998.55,998.3,0.5,hft_dominated,1768731038.2324228
224,998.1,998.5,998.3,0.39999999999997726,hft_dominated,1768731038.23329
225,998.1,998.5,998.3,0.39999999999997726,hft_dominated,1768731038.234227
226,998.05,998.3,998.175,0.25,hft_dominated,1768731038.2349231
227,998.05,998.4,998.2249999999999,0.35000000000002274,hft_dominated,1768731038.235762
228,998.05,998.5,998.275,0.4500000000000455,hft_dominated,1768731038.236489
229,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.237256
230,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.237988
231,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.238834
232,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.239618
233,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.250754
234,998.1,998.5,998.3,0.39999999999997726,hft_dominated,1768731038.2522602
235,998.1,998.5,998.3,0.39999999999997726,hft_dominated,1768731038.253273
236,998.05,998.55,998.3,0.5,hft_dominated,1768731038.254598
237,998.05,998.55,998.3,0.5,hft_dominated,1768731038.255564
238,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.256441
239,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.257238
240,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.2580202
241,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.2587452
242,998.3,998.55,998.425,0.25,hft_dominated,1768731038.259504
243,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.260386
244,998.3,998.55,998.425,0.25,hft_dominated,1768731038.2614841
245,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.262316
246,998.3,998.55,998.425,0.25,hft_dominated,1768731038.263104
247,998.3,998.55,998.425,0.25,hft_dominated,1768731038.263873
248,998.3,998.55,998.425,0.25,hft_dominated,1768731038.264748
249,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.2655559
250,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.2663932
251,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.267648
252,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.2685912
253,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.269859
254,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.276365
255,998.4,998.55,998.4749999999999,0.14999999999997726,hft_dominated,1768731038.279905
256,998.5,998.55,998.525,0.049999999999954525,hft_dominated,1768731038.280849
257,998.4,998.55,998.4749999999999,0.14999999999997726,hft_dominated,1768731038.283332
258,998.4,998.55,998.4749999999999,0.14999999999997726,hft_dominated,1768731038.284172
259,998.4,998.55,998.4749999999999,0.14999999999997726,hft_dominated,1768731038.284956
260,998.4,998.55,998.4749999999999,0.14999999999997726,hft_dominated,1768731038.285881
261,998.3,998.55,998.425,0.25,hft_dominated,1768731038.286718
262,998.3,998.55,998.425,0.25,hft_dominated,1768731038.287511
263,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.288372
264,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.28923
265,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.2900102
266,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.290721
267,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.291403
268,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.292199
269,998.1,998.55,998.325,0.4499999999999318,hft_dominated,1768731038.292904
270,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.293659
271,998.3,998.55,998.425,0.25,hft_dominated,1768731038.294545
272,998.4,998.55,998.4749999999999,0.14999999999997726,hft_dominated,1768731038.295464
273,998.4,998.55,998.4749999999999,0.14999999999997726,hft_dominated,1768731038.2962172
274,998.05,998.55,998.3,0.5,hft_dominated,1768731038.297109
275,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.299674
276,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.300471
277,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.3011708
278,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.301854
279,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.30259
280,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.303301
281,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.304003
282,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.3047209
283,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.3053818
284,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.306071
285,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.3067951
286,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.307508
287,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.308196
288,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.308862
289,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.3095622
290,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.310219
291,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.310973
292,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.3117068
293,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.312371
294,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.313036
295,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.313719
296,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.314354
297,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.314998
298,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.315657
299,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.316318
300,998.05,998.3,998.175,0.25,hft_dominated,1768731038.317021
301,998.05,998.3,998.175,0.25,hft_dominated,1768731038.3177001
302,998.05,998.2,998.125,0.15000000000009095,hft_dominated,1768731038.318451
303,998.05,998.2,998.125,0.15000000000009095,hft_dominated,1768731038.319232
304,998.05,998.1,998.075,0.05000000000006821,hft_dominated,1768731038.319922
305,998.05,998.1,998.075,0.05000000000006821,hft_dominated,1768731038.320617
306,998.05,998.2,998.125,0.15000000000009095,hft_dominated,1768731038.3213089
307,998.05,998.2,998.125,0.15000000000009095,hft_dominated,1768731038.321953
308,998.1,998.2,998.1500000000001,0.10000000000002274,hft_dominated,1768731038.3226209
309,998.05,998.2,998.125,0.15000000000009095,hft_dominated,1768731038.323426
310,998.05,998.2,998.125,0.15000000000009095,hft_dominated,1768731038.3240829
311,998.1,998.2,998.1500000000001,0.10000000000002274,hft_dominated,1768731038.3247318
312,998.1,998.2,998.1500000000001,0.10000000000002274,hft_dominated,1768731038.3254342
313,998.1,998.2,998.1500000000001,0.10000000000002274,hft_dominated,1768731038.326119
314,998.1,998.2,998.1500000000001,0.10000000000002274,hft_dominated,1768731038.326783
315,998.1,998.3,998.2,0.1999999999999318,hft_dominated,1768731038.3276758
316,998.1,998.3,998.2,0.1999999999999318,hft_dominated,1768731038.328404
317,998.1,998.3,998.2,0.1999999999999318,hft_dominated,1768731038.329105
318,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.32976
319,998.1,998.5,998.3,0.39999999999997726,hft_dominated,1768731038.330414
320,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.331106
321,998.1,998.3,998.2,0.1999999999999318,hft_dominated,1768731038.331805
322,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.332496
323,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.333202
324,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.333892
325,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.334553
326,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.335264
327,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.3359401
328,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.3366148
329,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.337278
330,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.3379478
331,998.2,998.3,998.25,0.09999999999990905,hft_dominated,1768731038.338604
332,998.2,998.4,998.3,0.1999999999999318,hft_dominated,1768731038.339246
333,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.3398871
334,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.340563
335,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.341302
336,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.3419678
337,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.3426251
338,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.343263
339,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.344054
340,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.3447502
341,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.3454468
342,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.346123
343,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.346776
344,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.347426
345,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.3480499
346,998.4,998.5,998.45,0.10000000000002274,hft_dominated,1768731038.348701
347,998.05,998.5,998.275,0.4500000000000455,hft_dominated,1768731038.3493462
348,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.349998
349,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.350663
350,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.3513658
351,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.352062
352,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.3527129
353,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.3533492
354,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.3539991
355,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.3546429
356,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.355275
357,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.355952
358,998.3,998.4,998.3499999999999,0.10000000000002274,hft_dominated,1768731038.3565922
359,998.3,998.5,998.4,0.20000000000004547,hft_dominated,1768731038.357291
